model,threshold,val_accuracy,val_precision,val_recall,val_f1_score,val_roc_auc,test_accuracy,test_precision,test_recall,test_f1_score,test_roc_auc
random_forest,0.060000000000000005,0.8114842903575298,0.7261998426435877,1.0,0.8413855970829535,0.9992357050881,0.6195833333333334,0.08077709611451943,0.8494623655913979,0.14752567693744165,0.8201965966133926
logistic_regression,0.05,0.6419284940411701,0.5835459183673469,0.991332611050921,0.7346447209955841,0.9723926524393465,0.2825,0.044717719396310786,0.8602150537634409,0.08501594048884166,0.6174475998713592
xgboost,0.05,0.8575297941495125,0.7842377260981912,0.9864572047670639,0.8738003838771593,0.9921798060636509,0.72125,0.07014925373134329,0.5053763440860215,0.12319790301441677,0.666792510871541
